,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
t,hosana,,osana (R); memuji / senang dengan (U);,Hosana adalah salam yang diteriakkan orang Yahudi untuk menghormati raja mereka. Artinya Semoga Allah menyelamatkannya!.,,"praise (urt), be happy with (urt)",,,,,,,,,,,,,,,,,,,,,,,,,
t,hisop,,pohon (kecil) disebut isop (K); ,"Hisop adalah sejenis tumbuhan. Para imam Israel mencelupkan daun hisop ke dalam darah korban, kemudian memercikkan darah itu ke orang atau benda untuk membuatnya suci di hadapan Allah.",,"Hyssop is a shrub, not a tree.",,,,,,,,,,,,,,,,,,,,,,,,,
t,berhala,"Berhala-berhala, allah-allah, dewa-dewa","gambar (ukiran/buatan manusia) yang disembah orang;
allah palsu (G, K);
ukiran (W, R)","Berhala adalah suatu bentuk buatan manusia yang disembah. Beberapa orang mengukir berhala dari kayu atau dari batu. Orang-orang percaya bahwa dewa atau roh datang dan berdiam di dalam berhala itu, sehingga mereka berdoa kepadanya, dengan anggapan bahwa dewa tersebut akan mendengar doa mereka.",Allah,,"False only in the sense that they are not Yahweh, the incomparable Creator. The spirits of gods do exist and pagans do pray to them.",,,,,,,,,,,,,,,,,,,,,,,,
t,ukupan,,"Bahan lengket yang asapnya berbau harum (R);
bubuk yang dibakar dan asapnya berbau harum dan disebut insens (K)",Ukupan adalah getah atau bagian pohon yang berbau harum saat dibakar. Banyak agama membakar ukupan sambil menyembah dewa-dewa mereka.,kemenyan,,,,,,,,,,,,,,,,,,,,,,,,,,
t,besi,,,"Besi adalah logam kuat yang berguna untuk membuat perkakas, senjata, kereta perang yang ditarik kuda dan rantai.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Ishak,,,"Ishak hidup sekitar 1900 tahun sebelum Yesus. Ishak adalah anak laki-laki yang Allah janjikan kepada Abraham yang dilahirkan oleh istrinya Sara. Ishak juga anak yang dipersembahkan Abraham untuk dikorbankan kepada Tuhan Allah. (Ketika Sara mendengar janji Allah bahwa dia akan melahirkan anak laki-laki meskipun dia sudah tua, dia tertawa. Ishak berarti tawa.)",,,The spirit of Antichrist has promulgathed a false docrine that Abraham offered his bastard son Ishmael.,,,,,,,,,,,,,,,,,,,,,,,,
n,Yesaya,,,"Yesaya hidup sekitar 800 tahun sebelum Yesus. Dia ditunjuk Allah untuk memperingatkan raja-raja Yehuda, dan menulis Kitab Yesaya. Di dalam kitab itu, dia menyampaikan banyak nubuat tentang Mesias. Yesus berkata bahwa Yesaya menulis tentang dia.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Israel,"orang Israel, orang-orang Israel",,"Orang Israel adalah keturunan dari Yakub yang namanya kemudian menjadi Israel. Setelah suku-suku Israel menyerbu Kanaan, mereka menamai bangsa mereka Israel. Setelah negeri itu terbelah menjadi dua, orang-orang di bagian utara disebut orang Israel dan orang-orang di bagian selatan disebut orang Yahudi.","orang Ibrani, orang Yahudi",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Yabin,,,"Yabin adalah seorang raja Kanaan yang pasukannya menindas bangsa Israel. Setelah mereka berdoa kepada Tuhan, orang Israel mengalahkan pasukan Yabin dan membunuhnya.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Yakub,,,"Yakub hidup sekitar 1850 tahun sebelum Yesus. Dia adalah anak Ishak dan cucu Abraham. Setelah Yakub bergulat dengan malaikat dari Allah, malaikat itu memberinya nama baru, yaitu Israel. Dua belas putra Israel menjadi nenek moyang dua belas suku Israel.",Israel,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yael,,,"Yael adalah seorang wanita Keni. Klan Keni tinggal di Israel tetapi berdamai dengan orang Kanaan. Ketika Sisera melarikan diri dari tentara Israel, dia berlindung di kemah Yael, di mana Yael membunuhnya saat dia tidur. (Nama Yael berarti Tuhan adalah Allah.)",,,"Yah is often assumed to be a short form of Yahweh, even though other nations myths mention a deity called Yah or Yeh.",GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,penjara,"Penjara-penjara, mempenjarakan, dipenjarakan, penjarakan, penjarakanlah",tempat di mana seseorang dipenjarakan (G);,"Penjara adalah rumah atau ruangan kecil tempat pemerintah mengurung penjahat atau mereka yang dituduh melakukan kejahatan. Yusuf dikurung di penjara di Mesir, Petrus di penjara di Yerusalem, dan Paulus di penjara di Roma. Seseorang yang dikurung di penjara disebut tahanan. Seseorang yang menjaga tahanan penjara disebut sipir.",belenggu,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Yakobus,,,Ada beberapa pria bernama Yakobus. Dua di antaranya adalah rasul Yesus. Yang lainnya adalah Yakobus saudara Yesus yang kemudian menjadi seorang Kristen dan pemimpin di jemaat-jemaat di Yerusalem. (Bentuk bahasa Ibrani dari Yakobus adalah Yakub yang berarti penipu.),,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t ,cemburu,"iri hati, iri",,"Cemburu bisa berarti (1) merasa tidak suka atau marah ketika orang lain berhasil atau mendapatkan apa yang kamu inginkan, (2) kemarahan yang dirasakan Allah ketika umatnya menyembah allah yang lain, atau (3) menginginkan milik orang. Kecemburuan dapat menyebabkan dosa. ",,,The slant (/) has no meaning.,,"Key Term Database including back translation contributions from the following languages: Daasanach (D), Wolof (W), Guajajara (G), Kandas (K) and Ramoaaina (R). © 2019 Wycliffe Bible Translators, Inc.",,,,,,,,,,,,,,,,,,,,,,
n,Yoyakhin,Konya,,"Yoyakhin, juga disebut Konya, adalah raja Yehuda (Israel selatan) ketika pasukan Babel menyerbu dan merebut kota Yerusalem 598 tahun sebelum Masehi.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Yoyada,,,Yoyada adalah imam besar di Bait Allah di Yerusalem sebelum dan selama pemerintahan Raja Yoas. Istrinya menyelamatkan Yoas saat dia masih kecil dari pembunuhan yang direncanakan Ratu Atalya yang jahat.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Yefta,,,Yefta hidup sekitar 1100 tahun sebelum Yesus pada masa para hakim. Dia menjadi pemimpin pasukan Israel dan memimpin mereka menuju kemenangan.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yeremia,,,"Yeremia hidup sekitar 600 tahun sebelum Yesus, sebelum dan selama Israel dihancurkan oleh Babel. Dia adalah seorang nabi Allah yang memanggil orang Israel untuk bertobat dari ketidaktaatan mereka. Dia memperingatkan mereka bahwa orang Babel akan datang untuk merebut Yerusalem dan membawa mereka ke Babel sebagai tawanan selama 70 tahun.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yerikho,,,Yerikho adalah nama kota bertembok yang kuat di Kanaan. Di situlah Rahab tinggal. Yerikho adalah kota pertama yang dikalahkan oleh Yosua dan orang Israel dengan pertolongan Allah yang ajaib. Allah menyebabkan tembok Yerikho runtuh.,,,Good as is.,,,,,,,,,,,,,,,,,,,,,,,,
n,Yerobeam,,,"Setelah raja Salomo meninggal, kerajaannya terbagi dua. Yerobeam menjadi raja atas bagian utara, yang mereka sebut Israel. Yerobeam mengatakan kepada orang Israel untuk berhenti pergi ke Yerusalem, dan untuk menyembah Tuhan dengan menyembah berhala yang berbentuk seperti lembu jantan. Dia membuat dirinya menjadi seorang imam. Tindakan ini tidak menyenangkan Tuhan. Yerobeam adalah raja yang jahat.",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Yerusalem,,,"Setelah raja Daud merebut Yerusalem, kota itu menjadi ibu kota Israel (Nama Yerusalem berarti Kota Damai). Raja Salomo membangun Bait Allah di Yerusalem. Selama 1000 tahun, kota Yerusalem tetap menjadi tempat ibadah utama bagi orang Yahudi. Nama lain Yerusalem adalah Gunung Sion, karena letaknya di atas bukit. Yerusalem telah dihancurkan dan dibangun kembali beberapa kali.",Sion,, ,,,,,,,,,,,,,,,,,,,,,,,,
n,Isai,,,"Isai adalah ayah raja Daud, yang merupakan nenek moyang Yesus Kristus. Dalam Perjanjian Lama, nabi Yesaya telah menulis bahwa Mesias atau Kristus adalah keturunan Isai dan Daud.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yesus,,"Yeesu dalam naskah Romawi, Isaa dalam naskah Arab (W);","Seorang malaikat menyuruh Maria dan Yusuf untuk menamai anaknya Yesus, yang berarti ""Tuhan Menyelamatkan"", karena dia akan menyelamatkan manusia dari dosa mereka. Yesus adalah Mesias atau Kristus yang dijanjikan. Dia adalah Tuhan yang datang sebagai manusia. Dia adalah satu-satunya Juruselamat. (Dia melakukan mukjizat di bumi, dia mati karena dosa-dosa kita, dia bangkit tiga hari kemudian, dan dia telah naik ke surga dan dari sana dia akan kembali suatu hari untuk menghakimi yang hidup dan yang mati dan untuk terus memerintah kerajaan yang dia bahkan sekarang sedang dalam proses membangun). Beberapa gelar lain yang diberikan kepada Yesus adalah: Yesus Kristus, Mesias, Anak Allah, Anak Manusia, dan Anak Daud.",,Arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yitro,Rehuel,,Yitro adalah gelar seorang imam Midian yang bernama Rehuel (Kel. 4.18). Musa menikah dengan salah satu putri Yitro sekitar tahun 1400 SM. (Nama Rehuel berarti sahabat Allah.),,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,orang Yahudi,"Orang-orang Yahudi, Yahudi, orang-orang Ibrani",orang (suku) yang disebut Yahudi; anak-anak Israel (W);,"Orang Yahudi adalah keturunan dari Abraham dan Yakub, dan juga disebut Israel. Mereka tinggal di tanah yang disebut Yehuda, dengan demikian mereka disebut orang Yahudi. Orang-orang Yahudi dikenal sebagai ""umat Allah"" karena Allah memilih mereka untuk menjadi bangsa yang melalui mereka Allah akan membuat dirinya dikenal dan Mesias akan dilahirkan. Allah memilih Israel, bangsa Yahudi, untuk menjadi terang bagi semua bangsa, untuk menunjukkan siapa Allah kepada seluruh dunia, tapi mereka gagal melakukan hal itu. Jadi Allah mengutus Yesus, lahir sebagai seorang Yahudi, untuk memenuhi tujuannya untuk membawa terang dan kehidupan bagi semua bangsa di dunia. Yesus mengajarkan bahwa seorang Yahudi yang ""sejati"" bukanlah semata-mata keturunan etnis dari Abraham, melainkan setiap orang yang percaya dan menaati Allah seperti yang dilakukan Abraham, tidak peduli apa keturunan etnis mereka.","orang yang bukan Yahudi, orang Israel","I would leave this out from notes: Sometimes the term ""Jew"" is used figuratively/generically in the New Testament to refer to believers, Christians, people who truly belong to God. (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
t,permata,Permata-permata,manik-manik (R); batu yang berharga banyak (U);,Permata adalah batu indah dengan berbagai warna dan sangat berharga. Imam besar Israel mengenakan permata di penutup dadanya (yang melambangkan 12 suku Israel). Yerusalem Baru digambarkan dalam Kitab Wahyu memiliki tembok kota yang terbuat dari permata.,,other language: stones you pay big money,,,,,,,,,,,,,,,,,,,,,,,,,
t,pemimpin agama Yahudi,"Pemimpin-pemimpin agama Yahudi, pemimpin Yahudi, pemimpin-pemimpin Yahudi",pemimpin orang Yahudi yang beriman kepada Allah (G);,"Para pemimpin agama Yahudi termasuk para pendeta, rabi, ahli Taurat, dan guru yang bertugas membantu orang memahami dan mematuhi hukum-hukum Allah. Banyak pemimpin seperti itu tidak percaya kepada Yesus dan mencoba menganiaya orang Yahudi yang menjadi Kristen.","Farisi, Saduki",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Yoab,,,Yoab adalah seorang komandan yang setia atas pasukan Daud selama bertahun-tahun.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Yoas,,,"Yoas adalah raja Yehuda (Israel Selatan) sekitar 800 tahun sebelum Masehi. Dia melayani Tuhan ketika masih muda, tetapi waktu dia sudah tua, dia melakukan kejahatan dan dibunuh.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Ayub,,,"Ayub adalah orang yang terkenal, kaya, saleh, dan baik yang hidup lama sekali. Setelah musuh-musuhnya mencuri semua kekayaannya dan Iblis membunuh anak-anaknya, dia terkena penyakit yang parah. Teman-temannya menuduhnya melakukan dosa, tetapi Ayub tahu dia adalah orang yang baik, jadi dia bertanya kepada Allah mengapa dia menderita. Setelah dia merendahkan diri di hadapan Allah, Allah memulihkan kesehatan dan kekayaannya, dan dia memiliki lebih banyak anak.",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Yohanes,,Yowanna (W),"Nama Yohanes berarti Kasih Karunia Tuhan. Pria dalam Alkitab bernama Yohanes termasuk (1) pembaptis yang memperingatkan orang-orang untuk kembali kepada Allah, (2) seorang rasul Yesus yang merupakan salah satu dari tiga orang yang sangat dekat dengan Yesus dan yang menulis salah satu kitab Injil, beberapa surat dan hampir pasti kitab Wahyu, (3) Sepupu Barnabas bernama Yohanes Markus yang menulis salah satu kitab Injil, (4) ayah Petrus, dan (5) kerabat seorang imam besar.",,Arabic ref.,Some believe that (2) and (6) be the same man.," Several people named John are mentioned in the New Testament. The two most important are John the Baptizer and John the Apostle: (1) John the Baptizer was the prophet who prepared the way for Jesus. He was a prophet in the tradition of Elijah, and like Elijah he warned the people to repent and come back to God. See Matthew 3:1–15; 11:2–19; 14:1–12; 17:13; 21:24–32; Mark 1:4–11; 6:14–29; 11:29–33; Luke 1:13–17, 57–63, 76–80; 3:2–20; 7:18–33; 11:1; John 1:6–8, 15, 19–36; 3:22–30. (2) John the Apostle was the son of Zebedee and brother of James. He was one of the twelve apostles of Jesus. He wrote the Gospel of John and the Letters of John, and almost certainly the Book of Revelation. See Matthew 4:21–22; 10:2; 17:1–13; Mark 1:29; 3:17; 5:37; 9:1–13, 38; 10:35–41; 13:3; Luke 8:51; 9:28–36, 49, 54; 22:8; Acts 3:1–11; 4:13, 19–20; 8:14–17; Galatians 2:9; Revelation 1:1, 4, 9; 22:2, 8. (3) John Mark, the cousin of Barnabas and co-worker of Paul, wrote the Gospel of Mark (Acts 12:12; 13:4–13; 15:37–39; Colossians 4:10; 2 Timothy 4:11; Philemon 24; 1 Peter 5:13). (4) John was the name of the father of Simon Peter (Matthew 16:17; John 1:42; 21:15–17). (5) Also there was a member of the family of the High Priest Annas named John (Acts 4:6).",,,,,,,,,,,,,,,,,,,,,,,
n,Yunus,,,"Yunus hidup sekitar 800 tahun sebelum Yesus. Namanya berarti Merpati, sejenis burung. Dia adalah seorang nabi Allah yang memanggil kota jahat Niniwe untuk bertobat walaupun dia tidak setuju dengan keputusan Allah. (Yesus pernah berkata bahwa dia sendiri akan hidup kembali tiga hari setelah kematiannya, seperti Yunus tiga hari berada di dalam ikan besar yang menelannya.) Selain dari pesan yang disampaikan Yunus kepada orang-orang Niniwe, Allah menggunakan kehidupan Yunus sebagai pesan juga.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yonatan,,,"Yonatan adalah anak laki-laki raja Saul. Dia dan Daud menjadi teman yang sangat baik. Ketika Saul dan Yonatan tewas dalam pertempuran, Daud menjadi raja menggantikan mereka. (Nama Yonatan berarti Hadiah dari Tuhan.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yafo,,,Yafo adalah sebuah kota pelabuhan ke arah barat dari Yerusalem. ,,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Yordan,sungai Yordan,,"Yordan adalah nama sungai panjang yang mengalir dari utara ke selatan di tanah Israel. Di sisi barat sungai Yordan ada tanah pertanian yang baik, sedangkan di sisi timur sungai Yordan ada padang gurun.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yusuf,,,"Laki-laki bernama Yusuf di dalam Alkitab termasuk (1) anak kesebelas Yakub, (2) suami Maria, (3) salah satu saudara laki-laki Yesus, (4) pemimpin Yahudi kaya yang menguburkan jenazah Yesus.
Yusuf, anak Yakub, dijual sebagai budak di Mesir sekitar 1800 tahun sebelum Yesus (dan menjadi pejabat penting di Mesir di mana dia membawa keluarga Yakub tinggal selama 400 tahun). (Nama Yusuf berarti Dia akan Menambahkan.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yosua,,,"Yosua hidup sekitar 1400 tahun sebelum Yesus. Namanya berarti Allah Menyelamatkan. Dia adalah salah satu dari 12 mata-mata yang dikirim Musa ke Kanaan. Yosua menjadi pemimpin bangsa Israel setelah Musa mati, sampai mereka menaklukkan Kanaan. (Dia berkata, ""Saya dan keluarga saya, kami akan mengikuti Allah."")
(‘Yesus’ adalah ucapan dalam bahasa Yunani untuk nama Yosua.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Yehuda,,,"Yehuda adalah salah satu dari dua belas putra Yakub. Ibunya adalah Lea. Ia menjadi leluhur suku Israel Yehuda.
Setelah raja Salomo meninggal, suku-suku di bagian utara masih disebut Israel, sedangkan dua suku di bagian selatan disebut Yehuda dalam bahasa Ibrani, dan disebut Yudea dalam bahasa Latin. (Nama Yehuda berarti Pujian.)",Yudea,,"GC 08-Mar-2019

RR: should a note be made here about Judah also being a country split off from Israel?",,,,,,,,,,,,,,,,,,,,,,,,
n,Yudea,,,Yudea adalah nama provinsi atau daerah tempat tinggal suku Yehuda.,Yehuda,Judea is name of province/area where tribe of Judah lived. (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,hakim,Hakim-hakim,"pemimpin orang Yahudi di tanah Kanaan (G);
Orang yang memutuskan solusi untuk perselisihan (U);","Pada zaman dahulu, sebelum ada raja di Israel, para hakim memerintah suku-suku Israel. Para hakim atau pemimpin ini memiliki wewenang untuk menyelesaikan perselisihan, bahkan memimpin tentara dalam pertempuran.
Menghakimi berarti membuat keputusan.
Seorang hakim di zaman modern biasanya adalah orang yang membuat atau mengumumkan keputusan akhir di pengadilan.","raja, nabi",other language: man (who) decides (solution for) disputes/talk (urt),GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,adil,"keadilan, setimpal, benar, membenarkan, dibenarkan","seseorang yang dianggap baik di hadirat Allah (G);
Membuat seseorang benar (W); sebut mereka yang lurus (R); sebut mereka lurus di depan mata Allah (R);
menceritakan dengan benar karya orang (G);
","Keadilan berarti mematuhi hukum atau standar. Orang yang adil mematuhi hukum. Seorang hakim yang adil memutuskan kasus berdasarkan apa yang dikatakan hukum. Allah adil ketika dia memberi penghargaan atau menghukum orang lain berdasarkan apa yang dikatakan hukumnya. Allah menerima mereka yang percaya janji-janjinya sebagai orang benar, seperti yang dilakukan Abraham. Meskipun perbuatan baik kita menunjukkan bahwa kita memiliki iman, iman kitalah yang membenarkan atau menyelamatkan kita. (Allah tidak membenarkan orang-orang yang berusaha dengan cara mereka sendiri untuk mendapatkan keselamatan mereka.)","baik, jahat",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Ketura,,,"Setelah Sara istri Abraham meninggal, dia menikahi seorang wanita bernama Ketura, yang melahirkan beberapa anak. (Nama Ketura bisa berarti Dupa atau Bau Manis.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,murah hati,"kemurahan, kemurahan hati, kebaikan, kebaikan hati, baik hati, baik",berbuat baik kepada orang-orang (G);,Murah hati berarti berbuat baik kepada orang lain dengan cara yang lembut.,rahmat,"take out: showing pity to people (because it is mercy, not kindness) (hilkka)",GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,raja ,Raja-raja,"penguasa;
Ketua (G); raja (R);
","Seorang raja tetap menjadi penguasa tertinggi atas suatu kerajaan atau bangsa sampai dia meninggal. Beberapa bangsa menyembah raja mereka sebagai dewa. (Beberapa negara, kerajaan atau kekaisaran menyebut raja mereka dengan gelar atau nama yang berbeda, misalnya Roma menyebut rajanya Kaisar; Mesir menyebut rajanya Firaun; orang Filistin menyebut raja mereka Abimelekh).","Kaisar, Firaun, Abimelekh",,,,,,,,,,,,,,,,,,,,,,,,,,
t,kerajaan,"kerajaan-kerajaan, kekaisaran",,Kerajaan adalah wilayah di mana seorang raja memerintah. Sebuah kekaisaran adalah wilayah di mana seorang raja memerintah banyak negeri dan bangsa. Terkadang kata ‘takhta’ melambangkan kerajaan.,"bangsa, negeri",,GC 08-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,Kerajaan Allah,Kerajaan Surga,"alam Allah;
Bagaimana Allah memerintah atas segalanya;
Pemerintahan Allah atas manusia (G); pemerintahan Allah (R);","Kerajaan Allah ada di mana pun manusia menaati Allah sebagai raja mereka. Karena Yesus adalah raja, Dia membawa Kerajaan Allah ke bumi ketika Ia datang ke dunia. Semua orang yang menyambut Yesus untuk memerintah atas mereka sebagai Raja mereka adalah warga Kerajaan Allah, baik di surga maupun di bumi.
Terkadang kata ‘takhta’ (kursi raja) digunakan untuk melambangkan kerajaan.",,,"RR: #3 definition seems to contradict #1.  If Jesus (and God) are truly all-powerful and have all authority, then it seems to me that Jesus has been and is currently the king over earth and heaven.  He is the High King.  Currently there are many ""under kings"" reigning on earth, but they are under Jesus' sovereignty.  Perhaps #3 should say something more like One day Jesus will do away with all other earthly kings and he himself will reign soley, visibly as King of earth when earth and heaven are once again rejoined/renewed.
GC: God's eternal sovereign rule over his creation and its creatures, to my knowledge, is not called 'Kingdom of God' in Scripture, only in abstract theology. Theology can inform translators, but should not introduce extraneious infomation into translation of specific verses.
RR: I feel more comfortable in having information that is general here, rather than trying to define past, present, future and eternal kingdoms (which is more a theological extraction than clearly deliniated in Scripture).
GC 08-Feb-19","The Kingdom of God exists wherever humans obey God as their king. Because Jesus is the divine King, he brought God's Kingdom to earth when he came into the world.",,,,,,,,,,,,,,,,,,,,,,,
